台 [tái],<ruby>台<rt>tái</rt></ruby>,台,台,tái,['ㄊㄞˊ'],platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),['ㄊㄞˊ'],
座 [zuò],<ruby>座<rt>zuò</rt></ruby>,座,座,zuò,['ㄗㄨㄛˋ'],"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation",['ㄗㄨㄛˋ'],
节 [jié],<ruby>节<rt>jié</rt></ruby>,节,節,jié,['ㄐㄧㄝˊ'],section; part; festival; moral integrity; save; (mw for class periods),['ㄐㄧㄝˊ'],
篇 [piān],<ruby>篇<rt>piān</rt></ruby>,篇,篇,piān,['ㄆㄧㄢ'],sheet; (mw for articles); piece of writing,['ㄆㄧㄢ'],
棵 [kē],<ruby>棵<rt>kē</rt></ruby>,棵,棵,kē,['ㄎㄜ'],(mw for plants),['ㄎㄜ'],
所 [suǒ],<ruby>所<rt>suǒ</rt></ruby>,所,所,suǒ,['ㄙㄨㄛˇ'],"place; that which; (mw for houses, buildings)",['ㄙㄨㄛˇ'],
根 [gēn],<ruby>根<rt>gēn</rt></ruby>,根,根,gēn,['ㄍㄣ'],"root; base; (mw for long, slender objects)",['ㄍㄣ'],
派 [pài],<ruby>派<rt>pài</rt></ruby>,派,派,pài,['ㄆㄞˋ'],dispatch; (mw for political groups; schools of thought; etc.),['ㄆㄞˋ'],
套 [tào],<ruby>套<rt>tào</rt></ruby>,套,套,tào,['ㄊㄠˋ'],cover; (mw for sets of things); tie together,['ㄊㄠˋ'],
颗 [kē],<ruby>颗<rt>kē</rt></ruby>,颗,顆,kē,['ㄎㄜ'],"(mw for hearts and small, round things like seeds, grains, beans, etc.)",['ㄎㄜ'],
圈 [quān],<ruby>圈<rt>quān</rt></ruby>,圈,圈,quān,['ㄑㄩㄢ'],"circle; ring; (mw for loops, orbits, etc.) | pen; sty | continue; to lock up",['ㄑㄩㄢ'],
圈 [juàn],<ruby>圈<rt>juàn</rt></ruby>,圈,圈,juàn,['ㄐㄩㄢˋ'],"circle; ring; (mw for loops, orbits, etc.) | pen; sty | continue; to lock up",['ㄐㄩㄢˋ'],
圈 [juān],<ruby>圈<rt>juān</rt></ruby>,圈,圈,juān,['ㄐㄩㄢ'],"circle; ring; (mw for loops, orbits, etc.) | pen; sty | continue; to lock up",['ㄐㄩㄢ'],
